# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Ar -> Ar+ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1055.4    1.160     0.014
895.7     1.260     0.018
795.5     1.404     0.018
695.2     1.524     0.018
611.1     1.55      0.02
549.5     1.75      0.03
496.8     1.81      0.03
447.4     1.98      0.03
396.6     2.06      0.03
347.6     2.15      0.03
298.3     2.30      0.03
247.5     2.48      0.03
203.2     2.55      0.04
165.5     2.68      0.04
130.1     2.70      0.05
104       2.89      0.08
89.8      3.01      0.11
79.9      3.12      0.12
69.9      2.95      0.12
59.4      3.08      0.14
49.4      2.57      0.15
39.3      3.16      0.23
28.9      2.79      0.34
