# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Ar -> Ar++ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1055.4    0.095     0.004
895.7     0.095     0.006
795.5     0.102     0.006
695.2     0.116     0.006
611.1     0.140     0.007
549.5     0.157     0.008
496.8     0.159     0.009
447.4     0.186     0.009
396.6     0.200     0.009
347.6     0.235     0.010
298.3     0.263     0.010
247.5     0.349     0.011
203.2     0.378     0.014
165.5     0.456     0.017
130.1     0.50      0.02
104       0.56      0.03
89.8      0.71      0.05
79.9      0.63      0.05
69.9      0.55      0.05
59.4      0.73      0.07
49.4      0.81      0.09
39.3      0.71      0.10
28.9      0.63      0.16
