# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Ar -> Ar+++ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1055.4    0.017     0.002
895.7     0.009     0.002
795.5     0.012     0.002
695.2     0.009     0.002
611.1     0.013     0.003
549.5     0.022     0.003
496.8     0.017     0.003
447.4     0.019     0.003
396.6     0.020     0.003
347.6     0.018     0.003
298.3     0.025     0.003
247.5     0.032     0.003
203.2     0.040     0.004
165.5     0.053     0.005
130.1     0.064     0.006
104       0.082     0.011
89.8      0.106     0.016
79.9      0.097     0.017
69.9      0.113     0.019
59.4      0.110     0.020
49.4      0.090     0.023
39.3      0.097     0.031
28.9      0.143     0.081
