# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Molecular H2 -> H2+ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)   exp_uncertainty_(1_sigma)
198.00        1.240                           0.060
255.00        0.930                           0.050
270.00        0.970                           0.040
325.00        0.910                           0.040
340.00        0.870                           0.030
399.00        0.800                           0.030
500.00        0.720                           0.030
645.00        0.580                           0.020
863.00        0.450                           0.020
1130.0        0.370                           0.020
1262.0        0.330                           0.015
1420.0        0.310                           0.015
1608.0        0.280                           0.010
