# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Molecular H2 -> H2+ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
13.00   1.04    0.10
15.80   1.23    0.08
19.90   1.51    0.08
24.20   1.79    0.09
29.70   1.94    0.09
41.40   1.98    0.08
53.60   1.94    0.08
67.00   1.84    0.07
80.60   1.75    0.07
91.20   1.57    0.06
101.4   1.48    0.06
113.9   1.42    0.06
128.3   1.38    0.06
145.8   1.32    0.05
167.7   1.24    0.05
194.4   1.11    0.04
227.6   1.05    0.04
270.2   0.98    0.04
326.5   0.91    0.04
402.8   0.81    0.03
503.0   0.73    0.03
