# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Kr -> Kr++ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1059.5    0.150     0.012
895.7     0.213     0.014
795.5     0.217     0.0015
694.7     0.227     0.013
611.1     0.265     0.016
549.5     0.267     0.018
497.1     0.314     0.019
447.2     0.340     0.019
396.6     0.360     0.019
347.4     0.41      0.02
298.3     0.41      0.02
247.4     0.51      0.02
203       0.60      0.03
165.7     0.75      0.06
130.4     0.81      0.04
104.1     0.92      0.06
89.8      0.95      0.09
79.7      0.92      0.09
69.7      1.12      0.11
59.4      1.15      0.14
49.4      1.16      0.16
39.3      1.39      0.24
29        1.41      0.36
