# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Molecular N2 -> N2+ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1003.2    1.37    0.07
857.6     1.47    0.07
741.3     1.51    0.07
647.5     1.66    0.07
570.6     1.75    0.08
507.2     1.88    0.08
442.1     2.06    0.08
378.9     2.23    0.10
321.2     2.31    0.09
260.2     2.52    0.10
205.8     2.46    0.11
162.5     2.94    0.15
127       2.67    0.15
99.7      2.86    0.17
78.2      2.56    0.20
61.1      2.80    0.24
46.2      2.82    0.30
