# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Ne -> Ne+ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1060.5    0.509     0.008
895.7     0.543     0.011
795.5     0.589     0.011
695.2     0.615     0.011
611.1     0.667     0.013
549.1     0.690     0.014
496.8     0.715     0.015
447.4     0.764     0.015
397       0.765     0.015
347.4     0.863     0.016
298.3     0.837     0.015
247.2     0.892     0.017
203       0.87      0.02
165.6     0.92      0.02
130.4     0.99      0.03
104.1     0.98      0.04
89.7      0.94      0.06
79.9      0.94      0.06
69.8      0.80      0.06
59.6      0.86      0.07
49.4      0.75      0.07
39.3      0.84      0.10
29        0.47      0.16
