# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Ne -> Ne++ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1060.5    0.037     0.003
895.7     0.035     0.004
795.5     0.049     0.004
695.2     0.053     0.004
611.1     0.060     0.005
549.1     0.058     0.005
496.8     0.072     0.006
447.4     0.066     0.006
397       0.087     0.007
347.4     0.098     0.007
298.3     0.113     0.007
247.2     0.118     0.008
203       0.111     0.009
165.6     0.129     0.011
130.4     0.133     0.012
104.1     0.109     0.016
89.7      0.10      0.02
79.9      0.11      0.05
69.8      0.14      0.03
59.6      0.19      0.04
49.4      0.08      0.04
39.3      0.15      0.06
