# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Xe -> Xe+ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1061.5    1.93      0.03
896.5     2.14      0.04
795.5     2.35      0.04
695.2     2.50      0.04
611.5     2.70      0.05
549.9     2.83      0.05
496.8     3.05      0.06
447.4     3.26      0.05
396.8     3.41      0.05
347.6     3.63      0.06
298.4     3.79      0.06
247.1     4.21      0.06
203       4.14      0.08
165.6     4.71      0.08
130.6     5.02      0.10
104       5.21      0.14
89.8      5.30      0.21
79.9      5.08      0.23
69.8      5.25      0.22
59.5      5.51      0.30
49.2      5.51      0.30
39.3      5.26      .034
29        6.57      0.60
