# J. Phys. B: At. Mol. Opt. Phys. 44 (2011) 122001
# Atomic Xe -> Xe+++ cross section with antiproton
#
#
# Energy_(keV)  cross_section_(10^(-16) cm^2)  exp_uncertainty_(1_sigma)
1061.5    0.132     0.009
896.5     0.154     0.010
795.5     0.211     0.011
695.2     0.155     0.010
611.5     0.173     0.013
549.9     0.185     0.013
496.8     0.223     0.014
447.4     0.189     0.014
396.8     0.241     0.014
347.6     0.238     0.014
298.4     0.209     0.013
247.1     0.252     0.015
203       0.228     0.017
165.6     0.26      0.02
130.6     0.36      0.02
104       0.27      0.04
89.8      0.30      0.05
79.9      0.32      0.05
69.8      0.42      0.06
59.5      0.29      0.04
49.2      0.38      0.11
39.3      0.27      0.10
29        0.54      0.14
